rtid,tid,from,to
1001291047694151681,1001180489171038208,817188056247783424,1368737382
1001291113775296518,1001085541671100418,4833036132,59983585
1001291196000538625,1001180489171038208,3230625147,1368737382
1001291282721849344,1001180489171038208,535599798,1368737382
1001291320676225024,1001131204748378112,56208676,244957467
1001291565711724546,1001180489171038208,719132241482227712,1368737382
1001291570610454528,1001180489171038208,59196641,1368737382
1001291617309872128,1001180489171038208,1080303320,1368737382
1001291637455077376,1001180489171038208,127458829,1368737382
1001291645449519104,1001180489171038208,261610978,1368737382
1001291648549109760,1001180489171038208,1378843070,1368737382
1001291741096378369,1001274651664928768,77646002,50279201
1001291874571698176,1000997624948944896,944118832091709440,1153045459
1001292170974801920,1001180489171038208,885779748923756545,1368737382
1001292252872753152,1001180489171038208,844600419766747141,1368737382
1001292283390578688,1001274651664928768,171866803,50279201
1001292392304013317,1001292216961155072,4075066755,936695288
1001292403213352960,1001292216961155072,2186386860,936695288
1001292559543500800,1001180489171038208,918744186752348160,1368737382
1001292571325349888,1001180489171038208,1642300968,1368737382
1001292688275095552,1001274651664928768,55470838,50279201
1001292887135432704,1001180489171038208,492161885,1368737382
1001292999769276418,1001292216961155072,927525127637602309,936695288
1001293074511708160,1001281193478766592,143393974,254937160
1001293091049897984,1001281063568654336,143393974,254937160
1001293122565849089,1001280745497804800,143393974,254937160
1001293138063835136,1001280627163910145,143393974,254937160
1001293169835700225,1001280433017962496,143393974,254937160
1001293286546518016,1001292216961155072,141575894,936695288
1001293301176139776,1001292216961155072,2173432970,936695288
1001293391907475456,1001180489171038208,2477197226,1368737382
1001293530608758784,1001180489171038208,2653016426,1368737382
1001293548564561921,1001180489171038208,995283028313161728,1368737382
1001293703175180291,1001180489171038208,952759583042428928,1368737382
1001293805625081856,1001180489171038208,84066414,1368737382
1001293928224636928,1000997624948944896,2258485248,1153045459
1001293942288277504,1001180489171038208,2246691906,1368737382
1001294048504627200,1001292004943282176,31983194,67494533
1001294221578452992,1001180489171038208,927518288233472000,1368737382
1001294248522731521,1001180489171038208,1894717813,1368737382
1001294273805930497,1001180489171038208,997690343830249472,1368737382
1001294309281316864,1001292216961155072,171866803,936695288
